Index,SRR_ID,Sample_ID,Data_Size,Experiment_ID,GEO_Sample_ID,Collection_Date,GEO_Sample_Accession,Treatment
1,SRR6011528,SAMN07611435,1.03 G,SRX3165398,GSM2774580,2017-09-0620:14:00Z,GSM2774580,PBS
2,SRR6011529,SAMN07611440,1.19 G,SRX3165399,GSM2774581,2017-09-0620:14:00Z,GSM2774581,Vc
3,SRR6011530,SAMN07611439,1.17 G,SRX3165400,GSM2774582,2017-09-0620:14:00Z,GSM2774582,5-Aza-CdR
4,SRR6011531,SAMN07611438,1.03 G,SRX3165401,GSM2774583,2017-09-0620:14:00Z,GSM2774583,Combination
5,SRR3110289,SAMN04430470,6.82 G,SRX1538735,GSM2042804,2016-01-2020:33:00Z,GSM2042804,PBS
6,SRR3110290,SAMN04430471,6.19 G,SRX1538736,GSM2042805,2016-01-2020:31:00Z,GSM2042805,Vitamin C
7,SRR3110291,SAMN04430472,5.93 G,SRX1538737,GSM2042806,2016-01-2020:30:00Z,GSM2042806,5-Aza-CdR
8,SRR3110292,SAMN04430473,6.91 G,SRX1538738,GSM2042807,2016-01-2020:35:00Z,GSM2042807,Combination
9,SRR3110295,SAMN04430475,7.00 G,SRX1538739,GSM2042809,2016-01-2020:21:00Z,GSM2042809,PBS
10,SRR3110296,SAMN04430476,7.29 G,SRX1538740,GSM2042810,2016-01-2020:22:00Z,GSM2042810,Vitamin C
11,SRR3110297,SAMN04430477,8.37 G,SRX1538741,GSM2042811,2016-01-2020:30:00Z,GSM2042811,5-Aza-CdR
12,SRR3110298,SAMN04430478,6.51 G,SRX1538742,GSM2042812,2016-01-2020:28:00Z,GSM2042812,Combination


