SRR_ID,BioSample,Bases,Bytes,Experiment,GEO_Accession,create_date,Sample Name,source_name,tissue
SRR5237615,SAMN06311476,8.97 G,5.46 Gb,SRX2544664,GSM2480436,2017-02-0813:51:00Z,GSM2480436,Tumor tissue,Tumor tissue
SRR5237616,SAMN06311475,8.39 G,5.11 Gb,SRX2544665,GSM2480437,2017-02-0813:53:00Z,GSM2480437,Non-neoplastic liver tissue,Non-neoplastic liver tissue
SRR5237617,SAMN06311474,9.72 G,6.03 Gb,SRX2544666,GSM2480438,2017-02-0813:55:00Z,GSM2480438,Tumor tissue,Tumor tissue
SRR5237618,SAMN06311473,8.17 G,5.08 Gb,SRX2544667,GSM2480439,2017-02-0813:53:00Z,GSM2480439,Non-neoplastic liver tissue,Non-neoplastic liver tissue
SRR5237619,SAMN06311472,8.62 G,5.45 Gb,SRX2544668,GSM2480440,2017-02-0813:52:00Z,GSM2480440,Tumor tissue,Tumor tissue
SRR5237620,SAMN06311471,8.56 G,5.36 Gb,SRX2544669,GSM2480441,2017-02-0813:51:00Z,GSM2480441,Non-neoplastic liver tissue,Non-neoplastic liver tissue
SRR5237621,SAMN06311477,8.24 G,5.22 Gb,SRX2544670,GSM2480442,2017-02-0813:51:00Z,GSM2480442,Tumor tissue,Tumor tissue
SRR5237622,SAMN06311478,7.95 G,5.03 Gb,SRX2544671,GSM2480443,2017-02-0813:51:00Z,GSM2480443,Non-neoplastic liver tissue,Non-neoplastic liver tissue
SRR5237623,SAMN06311479,10.14 G,6.11 Gb,SRX2544672,GSM2480444,2017-02-0813:54:00Z,GSM2480444,Tumor tissue,Tumor tissue
SRR5237624,SAMN06311480,10.80 G,6.54 Gb,SRX2544673,GSM2480445,2017-02-0814:15:00Z,GSM2480445,Non-neoplastic liver tissue,Non-neoplastic liver tissue
SRR5237625,SAMN06311481,7.27 G,4.89 Gb,SRX2544674,GSM2480446,2017-02-0813:51:00Z,GSM2480446,Tumor tissue,Tumor tissue
SRR5237626,SAMN06311483,7.23 G,4.86 Gb,SRX2544675,GSM2480447,2017-02-0813:51:00Z,GSM2480447,Non-neoplastic liver tissue,Non-neoplastic liver tissue
SRR5237627,SAMN06311482,7.79 G,4.87 Gb,SRX2544676,GSM2480448,2017-02-0813:51:00Z,GSM2480448,Tumor tissue,Tumor tissue
SRR5237628,SAMN06311485,7.45 G,4.71 Gb,SRX2544677,GSM2480449,2017-02-0813:52:00Z,GSM2480449,Non-neoplastic liver tissue,Non-neoplastic liver tissue
SRR5237629,SAMN06311484,7.43 G,4.71 Gb,SRX2544678,GSM2480450,2017-02-0813:50:00Z,GSM2480450,Tumor tissue,Tumor tissue
SRR5237630,SAMN06311470,7.58 G,4.80 Gb,SRX2544679,GSM2480451,2017-02-0813:52:00Z,GSM2480451,Non-neoplastic liver tissue,Non-neoplastic liver tissue
SRR5237631,SAMN06311469,7.74 G,4.91 Gb,SRX2544680,GSM2480452,2017-02-0814:08:00Z,GSM2480452,Tumor tissue,Tumor tissue
SRR5237632,SAMN06311468,8.59 G,5.45 Gb,SRX2544681,GSM2480453,2017-02-0813:53:00Z,GSM2480453,Non-neoplastic liver tissue,Non-neoplastic liver tissue
SRR5237633,SAMN06311509,9.49 G,5.88 Gb,SRX2544682,GSM2480454,2017-02-0813:56:00Z,GSM2480454,Tumor tissue,Tumor tissue
SRR5237634,SAMN06311501,3.06 G,1.90 Gb,SRX2544683,GSM2480455,2017-02-0813:43:00Z,GSM2480455,Non-neoplastic liver tissue,Non-neoplastic liver tissue
SRR5237635,SAMN06311507,9.58 G,6.44 Gb,SRX2544684,GSM2480456,2017-02-0813:54:00Z,GSM2480456,Tumor tissue,Tumor tissue
SRR5237636,SAMN06311508,6.65 G,4.47 Gb,SRX2544685,GSM2480457,2017-02-0813:49:00Z,GSM2480457,Non-neoplastic liver tissue,Non-neoplastic liver tissue
SRR5237637,SAMN06311496,9.48 G,5.95 Gb,SRX2544686,GSM2480458,2017-02-0813:52:00Z,GSM2480458,Tumor tissue,Tumor tissue
SRR5237638,SAMN06311498,8.64 G,5.42 Gb,SRX2544687,GSM2480459,2017-02-0813:54:00Z,GSM2480459,Non-neoplastic liver tissue,Non-neoplastic liver tissue
SRR5237639,SAMN06311497,7.35 G,4.62 Gb,SRX2544688,GSM2480460,2017-02-0813:50:00Z,GSM2480460,Tumor tissue,Tumor tissue
SRR5237640,SAMN06311499,6.99 G,4.39 Gb,SRX2544689,GSM2480461,2017-02-0813:49:00Z,GSM2480461,Non-neoplastic liver tissue,Non-neoplastic liver tissue
SRR5237641,SAMN06311500,7.43 G,4.68 Gb,SRX2544690,GSM2480462,2017-02-0813:50:00Z,GSM2480462,Tumor tissue,Tumor tissue
SRR5237642,SAMN06311495,7.37 G,4.60 Gb,SRX2544691,GSM2480463,2017-02-0813:50:00Z,GSM2480463,Non-neoplastic liver tissue,Non-neoplastic liver tissue
SRR5237643,SAMN06311494,7.33 G,4.61 Gb,SRX2544692,GSM2480464,2017-02-0813:52:00Z,GSM2480464,Tumor tissue,Tumor tissue
SRR5237644,SAMN06311493,7.22 G,4.58 Gb,SRX2544693,GSM2480465,2017-02-0813:50:00Z,GSM2480465,Non-neoplastic liver tissue,Non-neoplastic liver tissue
SRR5237645,SAMN06311492,10.80 G,6.54 Gb,SRX2544694,GSM2480466,2017-02-0813:57:00Z,GSM2480466,Tumor tissue,Tumor tissue
SRR5237646,SAMN06311491,9.86 G,6.01 Gb,SRX2544695,GSM2480467,2017-02-0813:56:00Z,GSM2480467,Non-neoplastic liver tissue,Non-neoplastic liver tissue
SRR5237647,SAMN06311490,8.08 G,5.10 Gb,SRX2544696,GSM2480468,2017-02-0813:53:00Z,GSM2480468,Tumor tissue,Tumor tissue
SRR5237648,SAMN06311489,8.46 G,5.35 Gb,SRX2544697,GSM2480469,2017-02-0813:57:00Z,GSM2480469,Non-neoplastic liver tissue,Non-neoplastic liver tissue
SRR5237649,SAMN06311488,9.91 G,6.22 Gb,SRX2544698,GSM2480470,2017-02-0813:56:00Z,GSM2480470,Tumor tissue,Tumor tissue
SRR5237650,SAMN06311487,7.16 G,4.48 Gb,SRX2544699,GSM2480471,2017-02-0813:58:00Z,GSM2480471,Non-neoplastic liver tissue,Non-neoplastic liver tissue
SRR5237651,SAMN06311486,9.90 G,6.28 Gb,SRX2544700,GSM2480472,2017-02-0813:56:00Z,GSM2480472,Tumor tissue,Tumor tissue
SRR5237652,SAMN06311506,7.61 G,4.84 Gb,SRX2544701,GSM2480473,2017-02-0813:50:00Z,GSM2480473,Non-neoplastic liver tissue,Non-neoplastic liver tissue
SRR5237653,SAMN06311505,10.66 G,6.45 Gb,SRX2544702,GSM2480474,2017-02-0813:54:00Z,GSM2480474,Tumor tissue,Tumor tissue
SRR5237654,SAMN06311502,9.28 G,5.63 Gb,SRX2544703,GSM2480475,2017-02-0813:53:00Z,GSM2480475,Non-neoplastic liver tissue,Non-neoplastic liver tissue
SRR5237655,SAMN06311504,8.06 G,5.09 Gb,SRX2544704,GSM2480476,2017-02-0813:51:00Z,GSM2480476,Tumor tissue,Tumor tissue
SRR5237656,SAMN06311503,8.80 G,5.47 Gb,SRX2544705,GSM2480477,2017-02-0813:52:00Z,GSM2480477,Non-neoplastic liver tissue,Non-neoplastic liver tissue

